lei,lender_name,apps_in_model,observed_denials,expected_denials,excess_denials,observed_expected_ratio,ratio_ci95_low,ratio_ci95_high,standardized_residual_z,profile_coverage_pct,flag
Q7C315HKI8VX0SSKBS64,,1203,259,191.4,67.6,1.353,1.193,1.528,5.33,88.7,above_expectation_ci_excludes_1
OJH4M4RQMT1WXN2BNC32,,978,263,198.8,64.2,1.323,1.168,1.493,5.1,77.8,above_expectation_ci_excludes_1
549300RN01LBYR8ZVX74,,5792,1270,1127.0,143.0,1.127,1.066,1.191,4.75,94.2,above_expectation_ci_excludes_1
54930054ET8KM4O1D485,,942,245,193.9,51.1,1.264,1.11,1.432,4.12,91.5,above_expectation_ci_excludes_1
549300HW662MN1WU8550,United Wholesale Mortgage,97774,20243,19813.6,429.4,1.022,1.008,1.036,3.42,86.9,above_expectation_ci_excludes_1
549300YN94MOAVYW0F52,,3574,1251,1162.8,88.2,1.076,1.017,1.137,3.15,86.8,above_expectation_ci_excludes_1
PAOOWF3GUFM46FBSP561,,871,291,252.4,38.6,1.153,1.024,1.293,2.88,52.1,above_expectation_ci_excludes_1
C398JSK21YCXWM603F55,,680,156,127.6,28.4,1.223,1.038,1.43,2.79,92.3,above_expectation_ci_excludes_1
549300PL267CW8182203,,1955,508,462.1,45.9,1.099,1.006,1.199,2.44,90.2,above_expectation_ci_excludes_1
5493004LAP3ULXM1YB66,,609,146,122.0,24.0,1.197,1.01,1.407,2.43,89.4,above_expectation_ci_excludes_1
5493000349C5XXDRQX28,,1102,174,150.2,23.8,1.158,0.993,1.344,2.09,94.4,not_distinguishable
549300Q10M1VXBG2H889,,1488,539,504.2,34.8,1.069,0.981,1.163,1.91,96.1,not_distinguishable
Q708HHR4LD2B7XIZNO92,,725,147,127.6,19.4,1.152,0.973,1.354,1.89,92.2,not_distinguishable
2549005SIVTHG14U2905,,807,162,142.8,19.2,1.134,0.966,1.323,1.77,91.4,not_distinguishable
8I3UVGYULPJQIP7FQV10,,541,101,87.8,13.2,1.15,0.937,1.398,1.54,93.4,not_distinguishable
549300UG7QXKM7KGV847,,669,285,266.1,18.9,1.071,0.95,1.203,1.49,91.4,not_distinguishable
549300249G20MDIDRR27,,980,193,184.0,9.0,1.049,0.906,1.208,0.74,94.0,not_distinguishable
549300KJ8PAJ7E52HG32,Plains Commerce Bank,3466,491,484.4,6.6,1.014,0.926,1.107,0.32,95.0,not_distinguishable
549300K4ZLGS7SRDTL86,,7840,1684,1673.8,10.2,1.006,0.959,1.055,0.28,89.2,not_distinguishable
5493001F7QT2YW3K8D98,,989,124,121.2,2.8,1.023,0.851,1.22,0.27,94.7,not_distinguishable
5493007VW2EU20PZYU97,,3725,602,598.9,3.1,1.005,0.926,1.089,0.14,93.9,not_distinguishable
FU7RSW4CQQY98A2O7J66,,548,77,76.6,0.4,1.005,0.793,1.256,0.05,87.8,not_distinguishable
5493000NYUJT9UC6G261,,1766,273,272.8,0.2,1.001,0.886,1.127,0.01,93.1,not_distinguishable
549300QR0KFPEDZPEI42,STOCKTON MORTGAGE CORPORATION,2725,456,466.7,-10.7,0.977,0.889,1.071,-0.54,91.1,not_distinguishable
5493001HHBUTXHS7TZ96,,2027,265,279.4,-14.4,0.948,0.838,1.07,-0.93,96.2,not_distinguishable
549300G2LV8W3C1G3762,,583,87,96.7,-9.7,0.9,0.721,1.11,-1.08,91.2,not_distinguishable
549300VQUTI5IU7GXT57,SECURITYNATIONAL MORTGAGE COMPANY,2574,346,366.6,-20.6,0.944,0.847,1.049,-1.16,93.2,not_distinguishable
5493002QI2ILHHZH8D20,"KBHS HOME LOANS, LLC",3758,471,501.0,-30.0,0.94,0.857,1.029,-1.44,95.9,not_distinguishable
